id,tag,section,category,aliases,sources
tag_d93f6a51f3,100% Completion Bonus,SFW,Format,100% Completion Reward,VNDB
tag_8227ad9754,1001 Nights,SFW,Theme,,VNDB
tag_5b54e10472,19th Century,SFW,Theme,1800s|Nineteenth Century|Victorian Era,VNDB
tag_9dd2802487,20's,SFW,Theme,,VNDB
tag_fcccb46de7,2000s,SFW,Theme,00s,VNDB
tag_a96568dc60,2010s,SFW,Theme,The '10s|Twenty-tens,VNDB
tag_6c895fd976,2020s,SFW,Theme,The '20s,VNDB
tag_b741849b90,2030s,SFW,Theme,'30s|The '30s,VNDB
tag_3c25ec54cc,20th Century,SFW,Theme,,VNDB
tag_d8044de18d,21st Century,SFW,Theme,,VNDB
tag_2c0b6e563f,30's,SFW,Theme,,VNDB
tag_55fac25c11,3d,NSFW,Sexual,3D,E-Hentai
tag_a6cc8ae86a,3D Graphics,SFW,Format,,VNDB
tag_8673a6e6ef,3d Imageset,NSFW,Sexual,3D图片集|3d imageset,E-Hentai
tag_12c5ccd4da,4-Koma,SFW,Format,4 koma,MangaDex
tag_b8ed128093,40's,SFW,Theme,,VNDB
tag_29e37a9afb,50's,SFW,Theme,,VNDB
tag_4e19547664,60's,SFW,Theme,,VNDB
tag_491e806874,70's,SFW,Theme,,VNDB
tag_d0e4986e7d,80's,SFW,Theme,,VNDB
tag_6b987fc9f2,90's,SFW,Theme,Nineties,VNDB
tag_4808d65f51,Abortion,NSFW,Character,abortion|堕胎,E-Hentai|NHentai
tag_c2214b2b09,Absorption,NSFW,Character,absorption|吸收,E-Hentai|NHentai
tag_2b109dff61,Absurdist Comedy,SFW,Genre,Bizarre Comedy|Comedic Nonsense|Nonsensical Humor|Surreal Comedy,VNDB
tag_69a7cda85c,Absurdist Humour,SFW,Theme,absurdist humour,Kitsu
tag_6e373659f3,Achievements,SFW,Format,Trophies,VNDB
tag_70966c0342,Achromatic,SFW,Theme,,AniList
tag_54d2953387,Achronological Order,SFW,Theme,,AniList
tag_17c6eb9052,Acrobatics,SFW,Theme,,AniList
tag_d9fc177907,Acting,SFW,Theme,,AniList
tag_418c5509e2,Action,SFW,Genre,,CinemaTaxonomy|Kitsu|MangaDex|MangaUpdates|VNDB
tag_8fed31895e,Action Game,SFW,Format,,VNDB
tag_430d8a8469,Actor Hero,SFW,Character,,VNDB
tag_e9e58a9d52,Actor/Actress Protagonist,SFW,Character,,VNDB
tag_0904f6f178,Actress Heroine,SFW,Character,,VNDB
tag_7278ff6867,Adaptation,SFW,Format,Based on Another Work,MangaDex|VNDB
tag_b6077cff5d,Addict Hero,SFW,Character,Addicted Hero|Junkie Hero,VNDB
tag_4b7458c874,Addict Heroine,SFW,Character,Junkie Heroine,VNDB
tag_4af785d540,Addict Protagonist,SFW,Character,Junkie Protagonist,VNDB
tag_81e82b79df,Additional Eyes,NSFW,Character,additional eyes|多眼,E-Hentai
tag_319495d3f4,Adoption,SFW,Theme,,AniList
tag_2e85a22d0f,Adult,NSFW,Genre,,MangaUpdates
tag_60985e32bb,Adult Breast Sucking,NSFW,Body,Adult Breast Feeding|Adult Breastfeeding|Adult Nursing|Adult Suckling|Erotic Lactation,VNDB
tag_ef88d508db,Adult Hero,SFW,Character,Seinen Hero,VNDB
tag_f39ac33d4c,Adult Heroine,SFW,Character,Josei Heroine|Jousei Heroine,VNDB
tag_cc8883b008,Adult Protagonist,SFW,Character,,VNDB
tag_4acedbc1e8,Adv,SFW,Format,ADV|AVG|Part-screen Textbox,VNDB
tag_7d934addc0,Adventitious Mouth,NSFW,Character,adventitious mouth|畸位口,E-Hentai|NHentai
tag_1cc6c5421a,Adventitious Penis,NSFW,Body,adventitious penis|畸位阴茎,E-Hentai|NHentai
tag_a111bb3498,Adventitious Vagina,NSFW,Body,adventitious vagina|畸位阴道,E-Hentai|NHentai
tag_7cb4872d41,Adventure,SFW,Genre,,CinemaTaxonomy|Kitsu|MangaDex|MangaUpdates
tag_f4f52c274b,Africa,SFW,Theme,,Kitsu
tag_91ad2d462b,Afro,NSFW,Character,afro|爆炸头,E-Hentai|NHentai
tag_c15634e44c,Afterlife,SFW,Theme,Spiritual Realm,AniList|VNDB
tag_31d2697676,Age Gap,SFW,Theme,,AniList
tag_a34e9e3734,Age Progression,NSFW,Character,age progression|年龄增长,E-Hentai|NHentai
tag_33f0146260,Age Regression,NSFW,Character,age regression|返老还童,AniList|E-Hentai|NHentai
tag_d456ff2a51,Agender,SFW,Theme,,AniList
tag_f8ea9e07f5,Agriculture,SFW,Theme,,AniList
tag_95f7711cfd,Ahegao,NSFW,Fetish,Ahe Gao|Ahe-gao|Ahegaokin|Fucked silly|Sloppy face sex|ahegao|アヘ顔|阿黑颜,E-Hentai|Kitsu|NHentai|VNDB
tag_989adf8f94,Ai Generated,NSFW,Sexual,AI生成|ai generated,E-Hentai
tag_d9db8bca97,AI-generated Assets,SFW,Format,ai generated assets,VNDB
tag_25cb61fe0a,AI-generated Graphics,SFW,Format,AI-generated Art|Artificial Intelligence Art|ai generated graphics,VNDB
tag_dc435242e8,AI-generated Music,SFW,Format,ai generated music,VNDB
tag_bfd8b47a67,AI-generated Story,SFW,Format,ai generated story,VNDB
tag_5443e6aa61,AI Hero,SFW,Character,Artificial Intelligence Hero,VNDB
tag_82db053aa2,AI Heroine,SFW,Character,Artificial Intelligence Heroine,VNDB
tag_7ca885c6b4,AI Protagonist,SFW,Character,Artificial Intelligence Protagonist,VNDB
tag_76b3e8f8f7,Air Force,SFW,Theme,air force,Kitsu
tag_6681c4945a,Airhead Hero,SFW,Character,Ditz Hero|Idiot Hero|Stupid Hero,VNDB
tag_a266d55429,Airhead Heroine,SFW,Character,Ditz Heroine|Idiot Heroine|Stupid Heroine,VNDB
tag_d7445e8fa4,Airhead Protagonist,SFW,Character,,VNDB
tag_45ea37a8b0,Airplane,SFW,Theme,Aeroplane|Fixed-wing aircraft,VNDB
tag_2bb5d126d7,Airplane Combat,SFW,Theme,Dog Fight|Dogfight,VNDB
tag_e5f9063e1e,Airsoft,SFW,Theme,,AniList
tag_cbe7855c7a,Albino,NSFW,Character,albino|白化,E-Hentai|NHentai
tag_a756b5e434,Albino Hero,SFW,Character,,VNDB
tag_4d88800de1,Albino Heroine,SFW,Character,,VNDB
tag_7b0624e092,Albino Protagonist,SFW,Character,,VNDB
tag_a6c674204c,Alchemy,SFW,Theme,,AniList|VNDB
tag_200835bcb8,Alcoholism,SFW,Theme,alcohol abuse,VNDB
tag_273910799e,Alien,NSFW,Character,alien|外星人👽,E-Hentai|Kitsu|NHentai
tag_60a9304ada,Alien Girl,NSFW,Character,alien girl|外星女👽,E-Hentai|NHentai
tag_ecbc043e2f,Alien Hero,SFW,Character,Extraterrestrial Hero,VNDB
tag_bbdae826eb,Alien Heroine,SFW,Character,Extraterrestrial Heroine,VNDB
tag_4f017c438c,Alien Protagonist,SFW,Character,Extraterrestrial Protagonist,VNDB
tag_32d0f9f324,Aliens,SFW,Theme,,AniList|MangaDex
tag_96bd97206f,All-boys School,SFW,Setting,all boys school,VNDB
tag_1d9ef0c2ff,All-girls School,SFW,Setting,All Girls School|all girls school,Kitsu|VNDB
tag_07c2611c1a,All Just a Dream,SFW,Theme,All Just a Hallucination|Dream Reveal|Dream Twist Ending|Dying Dream|Only A Dream,VNDB
tag_05f888c9b8,All the Way Through,NSFW,Sexual,All-the-Way Through|all the way through|消化道贯穿,E-Hentai|NHentai|VNDB
tag_2be3d042b5,Already Uploaded,NSFW,Sexual,already uploaded|已上传,E-Hentai
tag_9827a4b670,Alternate Dimensions,SFW,Theme,Alternative Reality|Parallel Universe,VNDB
tag_bc991d1016,Alternate Starting Point,SFW,Format,,VNDB
tag_25b29b7467,Alternate Universe,SFW,Theme,,AniList
tag_3c4ede888f,Alternative Past,SFW,Theme,alternative past,Kitsu
tag_31911560d6,Alternative Present,SFW,Theme,alternative present,Kitsu
tag_b440d314c7,Ambient Sounds,SFW,Format,Ambient Effects|Atmospheric Sounds|Environmental Sounds,VNDB
tag_41b56f1679,Americas,SFW,Theme,,Kitsu
tag_d4c72e84ff,Amnesia,SFW,Story,Memory Loss,AniList|VNDB
tag_5da3a053ae,Amnesiac Hero,SFW,Character,Hero with Memory Loss,VNDB
tag_6afb20ff5e,Amnesiac Heroine,SFW,Character,Heroine with Memory Loss,VNDB
tag_c66b04ad11,Amnesiac Protagonist,SFW,Character,,VNDB
tag_c4a317a734,Amphibians,SFW,Theme,,VNDB
tag_9566f7087c,Amputation,SFW,Theme,,AniList
tag_d62232c8d4,Amputee,NSFW,Character,amputee|截肢,E-Hentai|NHentai
tag_749b2e3ab5,Amusement Park,SFW,Theme,Theme Park,VNDB
tag_75f5782e6b,Anachronism,SFW,Theme,,AniList
tag_f9c62d5a98,Anaglyph,NSFW,Sexual,anaglyph|红蓝3D,E-Hentai
tag_347341c085,Anal,NSFW,Acts,anal|爆肛,E-Hentai|NHentai
tag_cdb867fc37,Anal Birth,NSFW,Acts,anal birth|肛门出产,E-Hentai|NHentai
tag_caf076132c,Anal Egg Laying,NSFW,Acts,Anal Oviparity,VNDB
tag_1eae7445f2,Anal Fingering,NSFW,Acts,,VNDB
tag_80bee69005,Anal Fisting,NSFW,Acts,,VNDB
tag_0c7e77ef4a,Anal Gaping,NSFW,Acts,,VNDB
tag_11049cd19f,Anal Intercourse,NSFW,Acts,anal intercourse|肛交,E-Hentai|NHentai
tag_db010236be,Anal Liquid Expulsion,NSFW,Acts,Enema Expulsion,VNDB
tag_5491409248,Anal Masturbation,NSFW,Acts,Self Prostate Massage,VNDB
tag_a1a82f5ee0,Anal Monster Birth,NSFW,Fetish,Anal Birthing Monsters|Anal Birthing Non-Human Creatures|Anal Viviparous Monster Birth,VNDB
tag_659298f0c9,Anal Multiple Fisting,NSFW,Acts,,VNDB
tag_9e1cfc4dec,Anal Multiple Objects Insertion,NSFW,Acts,,VNDB
tag_1668d58d8a,Anal Multiple Penetration,NSFW,Acts,,VNDB
tag_82a113d89f,Anal Multiple Tentacle Penetration,NSFW,Fetish,,VNDB
tag_d3de36c9b1,Anal Object Expulsion,NSFW,Acts,Anal Grapeshot|Anal Object Explosion|Object Expulsion (anal),VNDB
tag_767dff1a7d,Anal Object Insertion,NSFW,Acts,,VNDB
tag_b9e5a23d5e,Anal Penetration,NSFW,Acts,,VNDB
tag_73b9c00342,Anal Plug Tail,NSFW,Body,Anal Tail|Butt Plug Tail,VNDB
tag_1302dc1bf8,Anal Prolapse,NSFW,Acts,anal prolapse|脱肛,E-Hentai|NHentai
tag_bf5b983e2c,Anal Rape,NSFW,Acts,,VNDB
tag_1893596d37,Anal Sex,NSFW,Acts,Anal Intercourse|Ass Fucking|Buttsex|Fudge Packing,VNDB
tag_89a416ebbc,Anal Toys,NSFW,Acts,anal beads|anal probe|anal vibrator|butt plug,VNDB
tag_2815935952,Anal Vore,NSFW,Paraphilic/Fetish,Anal Unbirthing,VNDB
tag_fdcef94fde,Analphagia,NSFW,Acts,analphagia|肛门吞食,E-Hentai|NHentai
tag_e512623d1a,Ancient China,SFW,Theme,,AniList
tag_01db2f8750,Ancient Rome,SFW,Theme,Ancient Roman Empire|Ancient Roman Kingdom|Ancient Roman Republic,VNDB
tag_123243158c,Androgynous Hero,SFW,Character,Bishonen Hero|Bishounen Hero,VNDB
tag_d07b124495,Androgynous Heroine,SFW,Character,Bifauxnen Heroine,VNDB
tag_f2e322cc0c,Androgynous Protagonist,SFW,Character,,VNDB
tag_c31b32364c,Android,SFW,Theme,,Kitsu
tag_2e17223c10,Androphobic Heroine,SFW,Character,Heroine with Androphobia,VNDB
tag_f4f068e71e,Angel,SFW,Character,angel|天使,E-Hentai|Kitsu|NHentai
tag_ee275e2f6a,Angel Hero,SFW,Character,,VNDB
tag_e0217c0e3e,Angel Heroine,SFW,Character,,VNDB
tag_88da741cea,Angel Protagonist,SFW,Character,Tenshi Protagonist,VNDB
tag_82a7c395a8,Angels,SFW,Character,,AniList|VNDB
tag_270fc93ebe,Angst,SFW,Theme,,Kitsu
tag_38fefd6b24,Anilingus,NSFW,Sexual,Anal–oral sex|Rim job|Rimming,VNDB
tag_60f04b9d1a,Animal Cosplay,SFW,Theme,Animalistic Cosplay,VNDB
tag_0331f62843,Animal Cruelty,SFW,Theme,Animal Abuse|Animal Neglect,VNDB
tag_04dedd4f58,Animal on Animal,NSFW,Character,animal on animal|兽兽,E-Hentai|NHentai
